"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"AFOMOZ","CC1=C(SC(=C1)c1ccc(cc1)C#N)C1=C(C2=C(C)C=C(S2)c2ccc(cc2)C#N)C(F)(F)C(F)(F)C1(F)F",-7.67279424,-2.23949699,-1.54941626,0.9662,0.361,3.49510002090962,2.89011304273012,0.6049869781795,"","","","","","",""
"AFOSAR","FC(F)(F)S(=O)(=O)[C-](C[n+]1ccccc1)S(=O)(=O)C(F)(F)F",-8.31770407,-2.63814378,-1.64356766,0.0064,0.0192,3.50640002097723,3.57698989913854,-0.0705898781613099,"","","","","","",""
"AFOSEV","Cc1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.25811113,-2.33555318,-1.47785032,0.0034,0.018,3.74270002239091,3.7678527307863,-0.0251527083953986,"","","","","","",""
"AFOSIZ","CCc1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.32967708,-2.36956741,-1.40737283,0.0015,0.0131,3.79730002271755,3.81008480038865,-0.0127847776710998,"","","","","","",""
"AFOSOF","CC(C)Cc1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.29783976,-2.33936277,-1.37063746,0.0006,0.0086,3.79920002272892,3.80120300430352,-0.00200298157460965,"","","","","","",""
"AFOSUL","CC(C)c1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.23171609,-2.3516079,-1.31567047,0.0017,0.0154,3.70590002217075,3.7090745064,-0.00317448422925004,"","","","","","",""
"AFOTAS","COc1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.02735859,-2.29800147,-1.0353932,0.018,0.0309,3.64740002182077,3.68883658299492,-0.0414365611741596,"","","","","","",""
"AFOTEW","Fc1cccc[n+]1C[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F",-8.47063205,-2.71923371,-1.66315985,0.0003,0.0031,3.60190002154856,3.71032486954809,-0.108424847999529,"","","","","","",""
"AFOTIA","FC(F)(F)S(=O)(=O)[C-](C[n+]1ccccc1Cl)S(=O)(=O)C(F)(F)F",-8.46981571,-2.69692037,-1.78642743,0.0003,0.0034,3.61150002160599,3.66267991121916,-0.0511798896131687,"","","","","","",""
"AFOTOG","FC(F)(F)S(=O)(=O)[C-](C[n+]1ccccc1Br)S(=O)(=O)C(F)(F)F",-8.44097164,-2.73311151,-1.75540645,0.0003,0.0031,3.54590002121354,3.57500863820836,-0.02910861699482,"","","","","","",""
"AFOTUM","FC(F)(F)S(=O)(=O)[C-](C[n+]1cccc2ccccc12)S(=O)(=O)C(F)(F)F",-8.29130902,-2.93937381,-1.53553846,0.0002,0.1232,3.34520002001284,3.39892022804129,-0.0537202080284502,"","","","","","",""
"AFUNAS","CCCC(=O)N(C(=O)CCC)C1=C(Cl)C(=O)c2ccccc2C1=O",-9.12370529,-2.70154631,-0.68001251,0.0001,0.0001,3.09900001853994,3.03551707876284,0.0634829397771001,"","","","","","",""
"AFUQUP","CCN1C(=O)C(C(=O)N(CC)C1=S)=C1C(=CN(C2CC2)c2cc(Cl)c(F)cc12)C(=O)OCCCCCl",-6.70298048,-2.46943319,-0.97879352,0.3163,0.0053,2.43690001457889,1.77897749554485,0.657922519034039,"","","","","","",""
